"RL21001: RAHVASTIK, 31. DETSEMBER 2021 | Aasta, Sugu, Elukoht ning Vanus"

"Aasta","Sugu","Elukoht","Vanus kokku"
"2021","Mehed ja naised","Kogu Eesti",1331824
"2021","Mehed ja naised","..Linnaline asustuspiirkond",815003
"2021","Mehed ja naised","..Väikelinnaline asustuspiirkond",121647
"2021","Mehed ja naised","..Maaline asustuspiirkond",395174
"2021","Mehed ja naised","Põhja-Eesti",614567
"2021","Mehed ja naised","..Põhja-Eesti linnaline asustuspiirkond",482981
"2021","Mehed ja naised","..Põhja-Eesti väikelinnaline asustuspiirkond",55995
"2021","Mehed ja naised","..Põhja-Eesti maaline asustuspiirkond",75591
"2021","Mehed ja naised","Kesk-Eesti",121935
"2021","Mehed ja naised","..Kesk-Eesti linnaline asustuspiirkond",23069
"2021","Mehed ja naised","..Kesk-Eesti väikelinnaline asustuspiirkond",19550
"2021","Mehed ja naised","..Kesk-Eesti maaline asustuspiirkond",79316
"2021","Mehed ja naised","Kirde-Eesti",132741
"2021","Mehed ja naised","..Kirde-Eesti linnaline asustuspiirkond",109057
"2021","Mehed ja naised","..Kirde-Eesti väikelinnaline asustuspiirkond",314
"2021","Mehed ja naised","..Kirde-Eesti maaline asustuspiirkond",23370
"2021","Mehed ja naised","Lõuna-Eesti",316853
"2021","Mehed ja naised","..Lõuna-Eesti linnaline asustuspiirkond",136330
"2021","Mehed ja naised","..Lõuna-Eesti väikelinnaline asustuspiirkond",34195
"2021","Mehed ja naised","..Lõuna-Eesti maaline asustuspiirkond",146328
"2021","Mehed ja naised","Lääne-Eesti",145728
"2021","Mehed ja naised","..Lääne-Eesti linnaline asustuspiirkond",63566
"2021","Mehed ja naised","..Lääne-Eesti väikelinnaline asustuspiirkond",11593
"2021","Mehed ja naised","..Lääne-Eesti maaline asustuspiirkond",70569
"2021","Mehed ja naised","HARJU MAAKOND",614567
"2021","Mehed ja naised","..Harju maakond: linnaline asustuspiirkond",482981
"2021","Mehed ja naised","..Harju maakond: väikelinnaline asustuspiirkond",55995
"2021","Mehed ja naised","..Harju maakond: maaline asustuspiirkond",75591
"2021","Mehed ja naised","..Tallinn",437817
"2021","Mehed ja naised","....Haabersti linnaosa",46750
"2021","Mehed ja naised","....Kesklinna linnaosa",64551
"2021","Mehed ja naised","....Kristiine linnaosa",32705
"2021","Mehed ja naised","....Lasnamäe linnaosa",115038
"2021","Mehed ja naised","....Mustamäe linnaosa",66333
"2021","Mehed ja naised","....Nõmme linnaosa",34680
"2021","Mehed ja naised","....Pirita linnaosa",17354
"2021","Mehed ja naised","....Põhja-Tallinna linnaosa",60406
"2021","Mehed ja naised","..Anija vald",6262
"2021","Mehed ja naised","....Kehra linn asustusüksusena",2759
"2021","Mehed ja naised","....Anija vald, v.a Kehra linn asustusüksusena",3503
"2021","Mehed ja naised","..Harku vald",16380
"2021","Mehed ja naised","..Jõelähtme vald",6970
"2021","Mehed ja naised","..Keila linn",10499
"2021","Mehed ja naised","..Kiili vald",6165
"2021","Mehed ja naised","..Kose vald",7451
"2021","Mehed ja naised","..Kuusalu vald",6242
"2021","Mehed ja naised","..Loksa linn",2615
"2021","Mehed ja naised","..Lääne-Harju vald",12997
"2021","Mehed ja naised","....Paldiski linn asustusüksusena",3719
"2021","Mehed ja naised","....Lääne-Harju vald, v.a Paldiski linn asustusüksusena",9278
"2021","Mehed ja naised","..Maardu linn",16170
"2021","Mehed ja naised","..Raasiku vald",5115
"2021","Mehed ja naised","..Rae vald",22900
"2021","Mehed ja naised","..Saku vald",11001
"2021","Mehed ja naised","..Saue vald",24111
"2021","Mehed ja naised","....Saue linn asustusüksusena",5826
"2021","Mehed ja naised","....Saue vald, v.a Saue linn asustusüksusena",18285
"2021","Mehed ja naised","..Viimsi vald",21872
"2021","Mehed ja naised","HIIU MAAKOND",8497
"2021","Mehed ja naised","..Hiiu maakond: linnaline asustuspiirkond",0
"2021","Mehed ja naised","..Hiiu maakond: väikelinnaline asustuspiirkond",0
"2021","Mehed ja naised","..Hiiu maakond: maaline asustuspiirkond",8497
"2021","Mehed ja naised","..Hiiumaa vald",8497
"2021","Mehed ja naised","....Kärdla linn asustusüksusena",3046
"2021","Mehed ja naised","....Hiiumaa vald, v.a Kärdla linn asustusüksusena",5451
"2021","Mehed ja naised","IDA-VIRU MAAKOND",132741
"2021","Mehed ja naised","..Ida-Viru maakond: linnaline asustuspiirkond",109057
"2021","Mehed ja naised","..Ida-Viru maakond: väikelinnaline asustuspiirkond",314
"2021","Mehed ja naised","..Ida-Viru maakond: maaline asustuspiirkond",23370
"2021","Mehed ja naised","..Alutaguse vald",4167
"2021","Mehed ja naised","..Jõhvi vald",11948
"2021","Mehed ja naised","....Jõhvi linn asustusüksusena",10482
"2021","Mehed ja naised","....Jõhvi vald, v.a Jõhvi linn asustusüksusena",1466
"2021","Mehed ja naised","..Kohtla-Järve linn",33499
"2021","Mehed ja naised","....Ahtme linnaosa",15602
"2021","Mehed ja naised","....Järve linnaosa",15656
"2021","Mehed ja naised","....Kukruse linnaosa",467
"2021","Mehed ja naised","....Oru linnaosa",996
"2021","Mehed ja naised","....Sompa linnaosa",754
